subject,electrode,band,k,n_estimators,model,error
1,0,Mu,1.0,,KNN,0.65
1,0,Mu,2.0,,KNN,0.7
1,0,Mu,3.0,,KNN,0.75
1,0,Mu,4.0,,KNN,0.65
1,0,Mu,5.0,,KNN,0.55
1,0,Mu,6.0,,KNN,0.65
1,0,Mu,7.0,,KNN,0.6
1,0,Mu,8.0,,KNN,0.55
1,0,Mu,9.0,,KNN,0.4
1,0,Mu,10.0,,KNN,0.55
1,0,Mu,,10.0,RF,0.65
1,0,Mu,,50.0,RF,0.65
1,0,Mu,,100.0,RF,0.65
1,0,Beta,1.0,,KNN,0.5
1,0,Beta,2.0,,KNN,0.65
1,0,Beta,3.0,,KNN,0.55
1,0,Beta,4.0,,KNN,0.45
1,0,Beta,5.0,,KNN,0.65
1,0,Beta,6.0,,KNN,0.65
1,0,Beta,7.0,,KNN,0.45
1,0,Beta,8.0,,KNN,0.6
1,0,Beta,9.0,,KNN,0.5
1,0,Beta,10.0,,KNN,0.7
1,0,Beta,,10.0,RF,0.5
1,0,Beta,,50.0,RF,0.5
1,0,Beta,,100.0,RF,0.5
1,1,Mu,1.0,,KNN,0.6
1,1,Mu,2.0,,KNN,0.4
1,1,Mu,3.0,,KNN,0.6
1,1,Mu,4.0,,KNN,0.5
1,1,Mu,5.0,,KNN,0.4
1,1,Mu,6.0,,KNN,0.55
1,1,Mu,7.0,,KNN,0.55
1,1,Mu,8.0,,KNN,0.5
1,1,Mu,9.0,,KNN,0.55
1,1,Mu,10.0,,KNN,0.5
1,1,Mu,,10.0,RF,0.65
1,1,Mu,,50.0,RF,0.6
1,1,Mu,,100.0,RF,0.6
1,1,Beta,1.0,,KNN,0.5
1,1,Beta,2.0,,KNN,0.45
1,1,Beta,3.0,,KNN,0.5
1,1,Beta,4.0,,KNN,0.45
1,1,Beta,5.0,,KNN,0.6
1,1,Beta,6.0,,KNN,0.7
1,1,Beta,7.0,,KNN,0.8
1,1,Beta,8.0,,KNN,0.55
1,1,Beta,9.0,,KNN,0.7
1,1,Beta,10.0,,KNN,0.65
1,1,Beta,,10.0,RF,0.5
1,1,Beta,,50.0,RF,0.5
1,1,Beta,,100.0,RF,0.5
1,2,Mu,1.0,,KNN,0.5
1,2,Mu,2.0,,KNN,0.65
1,2,Mu,3.0,,KNN,0.45
1,2,Mu,4.0,,KNN,0.55
1,2,Mu,5.0,,KNN,0.55
1,2,Mu,6.0,,KNN,0.7
1,2,Mu,7.0,,KNN,0.55
1,2,Mu,8.0,,KNN,0.6
1,2,Mu,9.0,,KNN,0.65
1,2,Mu,10.0,,KNN,0.75
1,2,Mu,,10.0,RF,0.45
1,2,Mu,,50.0,RF,0.5
1,2,Mu,,100.0,RF,0.5
1,2,Beta,1.0,,KNN,0.55
1,2,Beta,2.0,,KNN,0.5
1,2,Beta,3.0,,KNN,0.45
1,2,Beta,4.0,,KNN,0.4
1,2,Beta,5.0,,KNN,0.45
1,2,Beta,6.0,,KNN,0.4
1,2,Beta,7.0,,KNN,0.45
1,2,Beta,8.0,,KNN,0.45
1,2,Beta,9.0,,KNN,0.45
1,2,Beta,10.0,,KNN,0.55
1,2,Beta,,10.0,RF,0.55
1,2,Beta,,50.0,RF,0.55
1,2,Beta,,100.0,RF,0.55
1,3,Mu,1.0,,KNN,0.75
1,3,Mu,2.0,,KNN,0.6
1,3,Mu,3.0,,KNN,0.65
1,3,Mu,4.0,,KNN,0.7
1,3,Mu,5.0,,KNN,0.6
1,3,Mu,6.0,,KNN,0.65
1,3,Mu,7.0,,KNN,0.55
1,3,Mu,8.0,,KNN,0.55
1,3,Mu,9.0,,KNN,0.5
1,3,Mu,10.0,,KNN,0.6
1,3,Mu,,10.0,RF,0.75
1,3,Mu,,50.0,RF,0.75
1,3,Mu,,100.0,RF,0.75
1,3,Beta,1.0,,KNN,0.25
1,3,Beta,2.0,,KNN,0.2
1,3,Beta,3.0,,KNN,0.3
1,3,Beta,4.0,,KNN,0.2
1,3,Beta,5.0,,KNN,0.35
1,3,Beta,6.0,,KNN,0.3
1,3,Beta,7.0,,KNN,0.5
1,3,Beta,8.0,,KNN,0.5
1,3,Beta,9.0,,KNN,0.65
1,3,Beta,10.0,,KNN,0.8
1,3,Beta,,10.0,RF,0.25
1,3,Beta,,50.0,RF,0.25
1,3,Beta,,100.0,RF,0.25
1,4,Mu,1.0,,KNN,0.65
1,4,Mu,2.0,,KNN,0.6
1,4,Mu,3.0,,KNN,0.8
1,4,Mu,4.0,,KNN,0.85
1,4,Mu,5.0,,KNN,0.85
1,4,Mu,6.0,,KNN,0.65
1,4,Mu,7.0,,KNN,0.75
1,4,Mu,8.0,,KNN,0.6
1,4,Mu,9.0,,KNN,0.6
1,4,Mu,10.0,,KNN,0.55
1,4,Mu,,10.0,RF,0.65
1,4,Mu,,50.0,RF,0.65
1,4,Mu,,100.0,RF,0.65
1,4,Beta,1.0,,KNN,0.4
1,4,Beta,2.0,,KNN,0.35
1,4,Beta,3.0,,KNN,0.55
1,4,Beta,4.0,,KNN,0.35
1,4,Beta,5.0,,KNN,0.35
1,4,Beta,6.0,,KNN,0.35
1,4,Beta,7.0,,KNN,0.45
1,4,Beta,8.0,,KNN,0.55
1,4,Beta,9.0,,KNN,0.75
1,4,Beta,10.0,,KNN,0.85
1,4,Beta,,10.0,RF,0.45
1,4,Beta,,50.0,RF,0.4
1,4,Beta,,100.0,RF,0.4
1,5,Mu,1.0,,KNN,0.55
1,5,Mu,2.0,,KNN,0.5
1,5,Mu,3.0,,KNN,0.5
1,5,Mu,4.0,,KNN,0.55
1,5,Mu,5.0,,KNN,0.55
1,5,Mu,6.0,,KNN,0.7
1,5,Mu,7.0,,KNN,0.6
1,5,Mu,8.0,,KNN,0.7
1,5,Mu,9.0,,KNN,0.7
1,5,Mu,10.0,,KNN,0.55
1,5,Mu,,10.0,RF,0.55
1,5,Mu,,50.0,RF,0.55
1,5,Mu,,100.0,RF,0.55
1,5,Beta,1.0,,KNN,0.45
1,5,Beta,2.0,,KNN,0.55
1,5,Beta,3.0,,KNN,0.3
1,5,Beta,4.0,,KNN,0.45
1,5,Beta,5.0,,KNN,0.45
1,5,Beta,6.0,,KNN,0.4
1,5,Beta,7.0,,KNN,0.5
1,5,Beta,8.0,,KNN,0.5
1,5,Beta,9.0,,KNN,0.55
1,5,Beta,10.0,,KNN,0.75
1,5,Beta,,10.0,RF,0.35
1,5,Beta,,50.0,RF,0.45
1,5,Beta,,100.0,RF,0.45
1,6,Mu,1.0,,KNN,0.65
1,6,Mu,2.0,,KNN,0.55
1,6,Mu,3.0,,KNN,0.8
1,6,Mu,4.0,,KNN,0.75
1,6,Mu,5.0,,KNN,0.8
1,6,Mu,6.0,,KNN,0.65
1,6,Mu,7.0,,KNN,0.75
1,6,Mu,8.0,,KNN,0.65
1,6,Mu,9.0,,KNN,0.8
1,6,Mu,10.0,,KNN,0.55
1,6,Mu,,10.0,RF,0.65
1,6,Mu,,50.0,RF,0.65
1,6,Mu,,100.0,RF,0.65
1,6,Beta,1.0,,KNN,0.4
1,6,Beta,2.0,,KNN,0.5
1,6,Beta,3.0,,KNN,0.4
1,6,Beta,4.0,,KNN,0.35
1,6,Beta,5.0,,KNN,0.4
1,6,Beta,6.0,,KNN,0.5
1,6,Beta,7.0,,KNN,0.55
1,6,Beta,8.0,,KNN,0.45
1,6,Beta,9.0,,KNN,0.45
1,6,Beta,10.0,,KNN,0.65
1,6,Beta,,10.0,RF,0.4
1,6,Beta,,50.0,RF,0.4
1,6,Beta,,100.0,RF,0.4
1,7,Mu,1.0,,KNN,0.75
1,7,Mu,2.0,,KNN,0.6
1,7,Mu,3.0,,KNN,0.7
1,7,Mu,4.0,,KNN,0.7
1,7,Mu,5.0,,KNN,0.7
1,7,Mu,6.0,,KNN,0.6
1,7,Mu,7.0,,KNN,0.55
1,7,Mu,8.0,,KNN,0.65
1,7,Mu,9.0,,KNN,0.65
1,7,Mu,10.0,,KNN,0.8
1,7,Mu,,10.0,RF,0.75
1,7,Mu,,50.0,RF,0.75
1,7,Mu,,100.0,RF,0.75
1,7,Beta,1.0,,KNN,0.5
1,7,Beta,2.0,,KNN,0.6
1,7,Beta,3.0,,KNN,0.5
1,7,Beta,4.0,,KNN,0.55
1,7,Beta,5.0,,KNN,0.45
1,7,Beta,6.0,,KNN,0.45
1,7,Beta,7.0,,KNN,0.4
1,7,Beta,8.0,,KNN,0.45
1,7,Beta,9.0,,KNN,0.4
1,7,Beta,10.0,,KNN,0.5
1,7,Beta,,10.0,RF,0.55
1,7,Beta,,50.0,RF,0.5
1,7,Beta,,100.0,RF,0.5
1,8,Mu,1.0,,KNN,0.55
1,8,Mu,2.0,,KNN,0.55
1,8,Mu,3.0,,KNN,0.4
1,8,Mu,4.0,,KNN,0.45
1,8,Mu,5.0,,KNN,0.45
1,8,Mu,6.0,,KNN,0.4
1,8,Mu,7.0,,KNN,0.45
1,8,Mu,8.0,,KNN,0.45
1,8,Mu,9.0,,KNN,0.6
1,8,Mu,10.0,,KNN,0.6
1,8,Mu,,10.0,RF,0.55
1,8,Mu,,50.0,RF,0.55
1,8,Mu,,100.0,RF,0.55
1,8,Beta,1.0,,KNN,0.6
1,8,Beta,2.0,,KNN,0.55
1,8,Beta,3.0,,KNN,0.75
1,8,Beta,4.0,,KNN,0.55
1,8,Beta,5.0,,KNN,0.8
1,8,Beta,6.0,,KNN,0.65
1,8,Beta,7.0,,KNN,0.75
1,8,Beta,8.0,,KNN,0.75
1,8,Beta,9.0,,KNN,0.7
1,8,Beta,10.0,,KNN,0.65
1,8,Beta,,10.0,RF,0.55
1,8,Beta,,50.0,RF,0.6
1,8,Beta,,100.0,RF,0.6
1,9,Mu,1.0,,KNN,0.55
1,9,Mu,2.0,,KNN,0.45
1,9,Mu,3.0,,KNN,0.45
1,9,Mu,4.0,,KNN,0.4
1,9,Mu,5.0,,KNN,0.55
1,9,Mu,6.0,,KNN,0.6
1,9,Mu,7.0,,KNN,0.55
1,9,Mu,8.0,,KNN,0.65
1,9,Mu,9.0,,KNN,0.8
1,9,Mu,10.0,,KNN,0.75
1,9,Mu,,10.0,RF,0.55
1,9,Mu,,50.0,RF,0.55
1,9,Mu,,100.0,RF,0.55
1,9,Beta,1.0,,KNN,0.55
1,9,Beta,2.0,,KNN,0.6
1,9,Beta,3.0,,KNN,0.45
1,9,Beta,4.0,,KNN,0.45
1,9,Beta,5.0,,KNN,0.45
1,9,Beta,6.0,,KNN,0.5
1,9,Beta,7.0,,KNN,0.45
1,9,Beta,8.0,,KNN,0.5
1,9,Beta,9.0,,KNN,0.35
1,9,Beta,10.0,,KNN,0.35
1,9,Beta,,10.0,RF,0.55
1,9,Beta,,50.0,RF,0.55
1,9,Beta,,100.0,RF,0.55
1,10,Mu,1.0,,KNN,0.65
1,10,Mu,2.0,,KNN,0.65
1,10,Mu,3.0,,KNN,0.5
1,10,Mu,4.0,,KNN,0.6
1,10,Mu,5.0,,KNN,0.4
1,10,Mu,6.0,,KNN,0.45
1,10,Mu,7.0,,KNN,0.5
1,10,Mu,8.0,,KNN,0.55
1,10,Mu,9.0,,KNN,0.55
1,10,Mu,10.0,,KNN,0.5
1,10,Mu,,10.0,RF,0.65
1,10,Mu,,50.0,RF,0.65
1,10,Mu,,100.0,RF,0.65
1,10,Beta,1.0,,KNN,0.55
1,10,Beta,2.0,,KNN,0.45
1,10,Beta,3.0,,KNN,0.6
1,10,Beta,4.0,,KNN,0.35
1,10,Beta,5.0,,KNN,0.6
1,10,Beta,6.0,,KNN,0.45
1,10,Beta,7.0,,KNN,0.45
1,10,Beta,8.0,,KNN,0.35
1,10,Beta,9.0,,KNN,0.65
1,10,Beta,10.0,,KNN,0.65
1,10,Beta,,10.0,RF,0.55
1,10,Beta,,50.0,RF,0.55
1,10,Beta,,100.0,RF,0.55
1,11,Mu,1.0,,KNN,0.6
1,11,Mu,2.0,,KNN,0.7
1,11,Mu,3.0,,KNN,0.8
1,11,Mu,4.0,,KNN,0.6
1,11,Mu,5.0,,KNN,0.75
1,11,Mu,6.0,,KNN,0.55
1,11,Mu,7.0,,KNN,0.55
1,11,Mu,8.0,,KNN,0.55
1,11,Mu,9.0,,KNN,0.7
1,11,Mu,10.0,,KNN,0.55
1,11,Mu,,10.0,RF,0.6
1,11,Mu,,50.0,RF,0.6
1,11,Mu,,100.0,RF,0.6
1,11,Beta,1.0,,KNN,0.65
1,11,Beta,2.0,,KNN,0.7
1,11,Beta,3.0,,KNN,0.75
1,11,Beta,4.0,,KNN,0.6
1,11,Beta,5.0,,KNN,0.6
1,11,Beta,6.0,,KNN,0.6
1,11,Beta,7.0,,KNN,0.65
1,11,Beta,8.0,,KNN,0.35
1,11,Beta,9.0,,KNN,0.65
1,11,Beta,10.0,,KNN,0.6
1,11,Beta,,10.0,RF,0.6
1,11,Beta,,50.0,RF,0.65
1,11,Beta,,100.0,RF,0.65
1,12,Mu,1.0,,KNN,0.35
1,12,Mu,2.0,,KNN,0.35
1,12,Mu,3.0,,KNN,0.45
1,12,Mu,4.0,,KNN,0.5
1,12,Mu,5.0,,KNN,0.6
1,12,Mu,6.0,,KNN,0.5
1,12,Mu,7.0,,KNN,0.45
1,12,Mu,8.0,,KNN,0.65
1,12,Mu,9.0,,KNN,0.8
1,12,Mu,10.0,,KNN,0.85
1,12,Mu,,10.0,RF,0.4
1,12,Mu,,50.0,RF,0.35
1,12,Mu,,100.0,RF,0.35
1,12,Beta,1.0,,KNN,0.65
1,12,Beta,2.0,,KNN,0.55
1,12,Beta,3.0,,KNN,0.7
1,12,Beta,4.0,,KNN,0.7
1,12,Beta,5.0,,KNN,0.75
1,12,Beta,6.0,,KNN,0.55
1,12,Beta,7.0,,KNN,0.55
1,12,Beta,8.0,,KNN,0.6
1,12,Beta,9.0,,KNN,0.5
1,12,Beta,10.0,,KNN,0.6
1,12,Beta,,10.0,RF,0.6
1,12,Beta,,50.0,RF,0.65
1,12,Beta,,100.0,RF,0.65
1,13,Mu,1.0,,KNN,0.5
1,13,Mu,2.0,,KNN,0.4
1,13,Mu,3.0,,KNN,0.5
1,13,Mu,4.0,,KNN,0.5
1,13,Mu,5.0,,KNN,0.45
1,13,Mu,6.0,,KNN,0.6
1,13,Mu,7.0,,KNN,0.75
1,13,Mu,8.0,,KNN,0.5
1,13,Mu,9.0,,KNN,0.5
1,13,Mu,10.0,,KNN,0.45
1,13,Mu,,10.0,RF,0.55
1,13,Mu,,50.0,RF,0.5
1,13,Mu,,100.0,RF,0.5
1,13,Beta,1.0,,KNN,0.7
1,13,Beta,2.0,,KNN,0.55
1,13,Beta,3.0,,KNN,0.75
1,13,Beta,4.0,,KNN,0.6
1,13,Beta,5.0,,KNN,0.8
1,13,Beta,6.0,,KNN,0.55
1,13,Beta,7.0,,KNN,0.7
1,13,Beta,8.0,,KNN,0.7
1,13,Beta,9.0,,KNN,0.65
1,13,Beta,10.0,,KNN,0.6
1,13,Beta,,10.0,RF,0.75
1,13,Beta,,50.0,RF,0.7
1,13,Beta,,100.0,RF,0.7
1,14,Mu,1.0,,KNN,0.65
1,14,Mu,2.0,,KNN,0.65
1,14,Mu,3.0,,KNN,0.7
1,14,Mu,4.0,,KNN,0.7
1,14,Mu,5.0,,KNN,0.6
1,14,Mu,6.0,,KNN,0.65
1,14,Mu,7.0,,KNN,0.45
1,14,Mu,8.0,,KNN,0.6
1,14,Mu,9.0,,KNN,0.45
1,14,Mu,10.0,,KNN,0.45
1,14,Mu,,10.0,RF,0.75
1,14,Mu,,50.0,RF,0.65
1,14,Mu,,100.0,RF,0.65
1,14,Beta,1.0,,KNN,0.55
1,14,Beta,2.0,,KNN,0.4
1,14,Beta,3.0,,KNN,0.55
1,14,Beta,4.0,,KNN,0.45
1,14,Beta,5.0,,KNN,0.5
1,14,Beta,6.0,,KNN,0.35
1,14,Beta,7.0,,KNN,0.5
1,14,Beta,8.0,,KNN,0.3
1,14,Beta,9.0,,KNN,0.65
1,14,Beta,10.0,,KNN,0.5
1,14,Beta,,10.0,RF,0.6
1,14,Beta,,50.0,RF,0.55
1,14,Beta,,100.0,RF,0.55
2,0,Mu,1.0,,KNN,0.5
2,0,Mu,2.0,,KNN,0.6
2,0,Mu,3.0,,KNN,0.45
2,0,Mu,4.0,,KNN,0.6
2,0,Mu,5.0,,KNN,0.55
2,0,Mu,6.0,,KNN,0.65
2,0,Mu,7.0,,KNN,0.35
2,0,Mu,8.0,,KNN,0.6
2,0,Mu,9.0,,KNN,0.35
2,0,Mu,10.0,,KNN,0.55
2,0,Mu,,10.0,RF,0.5
2,0,Mu,,50.0,RF,0.5
2,0,Mu,,100.0,RF,0.5
2,0,Beta,1.0,,KNN,0.15
2,0,Beta,2.0,,KNN,0.1
2,0,Beta,3.0,,KNN,0.25
2,0,Beta,4.0,,KNN,0.25
2,0,Beta,5.0,,KNN,0.25
2,0,Beta,6.0,,KNN,0.2
2,0,Beta,7.0,,KNN,0.3
2,0,Beta,8.0,,KNN,0.25
2,0,Beta,9.0,,KNN,0.3
2,0,Beta,10.0,,KNN,0.3
2,0,Beta,,10.0,RF,0.15
2,0,Beta,,50.0,RF,0.15
2,0,Beta,,100.0,RF,0.15
2,1,Mu,1.0,,KNN,0.45
2,1,Mu,2.0,,KNN,0.55
2,1,Mu,3.0,,KNN,0.55
2,1,Mu,4.0,,KNN,0.45
2,1,Mu,5.0,,KNN,0.45
2,1,Mu,6.0,,KNN,0.5
2,1,Mu,7.0,,KNN,0.45
2,1,Mu,8.0,,KNN,0.4
2,1,Mu,9.0,,KNN,0.4
2,1,Mu,10.0,,KNN,0.45
2,1,Mu,,10.0,RF,0.45
2,1,Mu,,50.0,RF,0.45
2,1,Mu,,100.0,RF,0.45
2,1,Beta,1.0,,KNN,0.25
2,1,Beta,2.0,,KNN,0.35
2,1,Beta,3.0,,KNN,0.25
2,1,Beta,4.0,,KNN,0.35
2,1,Beta,5.0,,KNN,0.2
2,1,Beta,6.0,,KNN,0.25
2,1,Beta,7.0,,KNN,0.25
2,1,Beta,8.0,,KNN,0.2
2,1,Beta,9.0,,KNN,0.2
2,1,Beta,10.0,,KNN,0.25
2,1,Beta,,10.0,RF,0.25
2,1,Beta,,50.0,RF,0.25
2,1,Beta,,100.0,RF,0.25
2,2,Mu,1.0,,KNN,0.6
2,2,Mu,2.0,,KNN,0.55
2,2,Mu,3.0,,KNN,0.45
2,2,Mu,4.0,,KNN,0.55
2,2,Mu,5.0,,KNN,0.4
2,2,Mu,6.0,,KNN,0.45
2,2,Mu,7.0,,KNN,0.35
2,2,Mu,8.0,,KNN,0.35
2,2,Mu,9.0,,KNN,0.4
2,2,Mu,10.0,,KNN,0.45
2,2,Mu,,10.0,RF,0.6
2,2,Mu,,50.0,RF,0.6
2,2,Mu,,100.0,RF,0.6
2,2,Beta,1.0,,KNN,0.55
2,2,Beta,2.0,,KNN,0.5
2,2,Beta,3.0,,KNN,0.45
2,2,Beta,4.0,,KNN,0.5
2,2,Beta,5.0,,KNN,0.45
2,2,Beta,6.0,,KNN,0.4
2,2,Beta,7.0,,KNN,0.4
2,2,Beta,8.0,,KNN,0.45
2,2,Beta,9.0,,KNN,0.4
2,2,Beta,10.0,,KNN,0.4
2,2,Beta,,10.0,RF,0.55
2,2,Beta,,50.0,RF,0.55
2,2,Beta,,100.0,RF,0.55
2,3,Mu,1.0,,KNN,0.35
2,3,Mu,2.0,,KNN,0.5
2,3,Mu,3.0,,KNN,0.45
2,3,Mu,4.0,,KNN,0.45
2,3,Mu,5.0,,KNN,0.4
2,3,Mu,6.0,,KNN,0.4
2,3,Mu,7.0,,KNN,0.35
2,3,Mu,8.0,,KNN,0.45
2,3,Mu,9.0,,KNN,0.3
2,3,Mu,10.0,,KNN,0.35
2,3,Mu,,10.0,RF,0.35
2,3,Mu,,50.0,RF,0.35
2,3,Mu,,100.0,RF,0.35
2,3,Beta,1.0,,KNN,0.5
2,3,Beta,2.0,,KNN,0.45
2,3,Beta,3.0,,KNN,0.55
2,3,Beta,4.0,,KNN,0.5
2,3,Beta,5.0,,KNN,0.5
2,3,Beta,6.0,,KNN,0.55
2,3,Beta,7.0,,KNN,0.4
2,3,Beta,8.0,,KNN,0.4
2,3,Beta,9.0,,KNN,0.4
2,3,Beta,10.0,,KNN,0.45
2,3,Beta,,10.0,RF,0.5
2,3,Beta,,50.0,RF,0.5
2,3,Beta,,100.0,RF,0.5
2,4,Mu,1.0,,KNN,0.25
2,4,Mu,2.0,,KNN,0.35
2,4,Mu,3.0,,KNN,0.2
2,4,Mu,4.0,,KNN,0.2
2,4,Mu,5.0,,KNN,0.3
2,4,Mu,6.0,,KNN,0.3
2,4,Mu,7.0,,KNN,0.3
2,4,Mu,8.0,,KNN,0.3
2,4,Mu,9.0,,KNN,0.3
2,4,Mu,10.0,,KNN,0.3
2,4,Mu,,10.0,RF,0.25
2,4,Mu,,50.0,RF,0.25
2,4,Mu,,100.0,RF,0.25
2,4,Beta,1.0,,KNN,0.55
2,4,Beta,2.0,,KNN,0.55
2,4,Beta,3.0,,KNN,0.5
2,4,Beta,4.0,,KNN,0.6
2,4,Beta,5.0,,KNN,0.45
2,4,Beta,6.0,,KNN,0.6
2,4,Beta,7.0,,KNN,0.45
2,4,Beta,8.0,,KNN,0.5
2,4,Beta,9.0,,KNN,0.4
2,4,Beta,10.0,,KNN,0.45
2,4,Beta,,10.0,RF,0.55
2,4,Beta,,50.0,RF,0.55
2,4,Beta,,100.0,RF,0.55
2,5,Mu,1.0,,KNN,0.5
2,5,Mu,2.0,,KNN,0.45
2,5,Mu,3.0,,KNN,0.25
2,5,Mu,4.0,,KNN,0.3
2,5,Mu,5.0,,KNN,0.3
2,5,Mu,6.0,,KNN,0.3
2,5,Mu,7.0,,KNN,0.35
2,5,Mu,8.0,,KNN,0.3
2,5,Mu,9.0,,KNN,0.35
2,5,Mu,10.0,,KNN,0.3
2,5,Mu,,10.0,RF,0.5
2,5,Mu,,50.0,RF,0.5
2,5,Mu,,100.0,RF,0.5
2,5,Beta,1.0,,KNN,0.2
2,5,Beta,2.0,,KNN,0.25
2,5,Beta,3.0,,KNN,0.35
2,5,Beta,4.0,,KNN,0.35
2,5,Beta,5.0,,KNN,0.3
2,5,Beta,6.0,,KNN,0.3
2,5,Beta,7.0,,KNN,0.25
2,5,Beta,8.0,,KNN,0.25
2,5,Beta,9.0,,KNN,0.25
2,5,Beta,10.0,,KNN,0.25
2,5,Beta,,10.0,RF,0.2
2,5,Beta,,50.0,RF,0.2
2,5,Beta,,100.0,RF,0.2
2,6,Mu,1.0,,KNN,0.35
2,6,Mu,2.0,,KNN,0.35
2,6,Mu,3.0,,KNN,0.35
2,6,Mu,4.0,,KNN,0.4
2,6,Mu,5.0,,KNN,0.25
2,6,Mu,6.0,,KNN,0.25
2,6,Mu,7.0,,KNN,0.35
2,6,Mu,8.0,,KNN,0.35
2,6,Mu,9.0,,KNN,0.45
2,6,Mu,10.0,,KNN,0.45
2,6,Mu,,10.0,RF,0.4
2,6,Mu,,50.0,RF,0.35
2,6,Mu,,100.0,RF,0.35
2,6,Beta,1.0,,KNN,0.25
2,6,Beta,2.0,,KNN,0.3
2,6,Beta,3.0,,KNN,0.25
2,6,Beta,4.0,,KNN,0.25
2,6,Beta,5.0,,KNN,0.25
2,6,Beta,6.0,,KNN,0.25
2,6,Beta,7.0,,KNN,0.25
2,6,Beta,8.0,,KNN,0.25
2,6,Beta,9.0,,KNN,0.25
2,6,Beta,10.0,,KNN,0.25
2,6,Beta,,10.0,RF,0.3
2,6,Beta,,50.0,RF,0.25
2,6,Beta,,100.0,RF,0.25
2,7,Mu,1.0,,KNN,0.65
2,7,Mu,2.0,,KNN,0.7
2,7,Mu,3.0,,KNN,0.6
2,7,Mu,4.0,,KNN,0.65
2,7,Mu,5.0,,KNN,0.85
2,7,Mu,6.0,,KNN,0.6
2,7,Mu,7.0,,KNN,0.7
2,7,Mu,8.0,,KNN,0.5
2,7,Mu,9.0,,KNN,0.65
2,7,Mu,10.0,,KNN,0.75
2,7,Mu,,10.0,RF,0.65
2,7,Mu,,50.0,RF,0.65
2,7,Mu,,100.0,RF,0.65
2,7,Beta,1.0,,KNN,0.45
